nr,chemical_name,smiles,Reference,act
351,SB 218795,O(C(=O)[C@@H](NC(=O)c1cc(nc2c1cccc2)-c1ccccc1)c1ccccc1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
352,DL-Homatropine hydrobromide,O(C(=O)[C@@H](O)c1ccccc1)C1C[C@@H]2N([C@@H](C1)CC2)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
353,Ipratropium bromide,O(C(=O)[C@H](CO)c1ccccc1)C1C[C@@H]2[N+]([C@@H](C1)CC2)(C(C)C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
354,Atropine methyl nitrate,O(C(=O)[C@H](CO)c1ccccc1)C1C[C@@H]2[N+]([C@@H](C1)CC2)(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
355,Atropine sulfate,O(C(=O)[C@H](CO)c1ccccc1)C1C[C@@H]2N([C@@H](C1)CC2)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
356,4-DAMP methiodide,O(C(=O)C(c1ccccc1)c1ccccc1)C1CC[N+](CC1)(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
357,SKF-525A hydrochloride,O(C(=O)C(CCC)(c1ccccc1)c1ccccc1)CCN(CC)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
358,Oxybutynin Chloride,O(C(=O)C(O)(C1CCCCC1)c1ccccc1)CC#CCN(CC)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
359,Fusidic acid sodium,O(C(=O)C)[C@@H]/1CC2([C@@H](C[C@H](O)[C@@H]3C2(CC[C@H]2[C@@H](C)[C@@H](O)CCC23C)C)\C\1=C(/CCC=C(C)C)\C(O)=O)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
360,Pancuronium bromide,O(C(=O)C)[C@H]1[C@H]([N+]2(CCCCC2)C)C[C@@H]2[C@H]3[C@@H](CCC12C)C1([C@H](C[C@@H](OC(=O)C)[C@@H]([N+]2(CCCCC2)C)C1)CC3)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
361,Phorbol 12-myristate 13-acetate,O(C(=O)C)C12[C@@H]([C@H]3C=C(CC4(O)[C@H](C=C(C)C4=O)C3(O)[C@H](C)[C@H]1OC(=O)CCCCCCCCCCCCC)CO)C2(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
362,Moxisylyte hydrochloride,O(C(=O)C)c1cc(C(C)C)c(OCCN(C)C)cc1C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
363,Nimodipine,O(C(=O)C=1[C@@H](C(C(OCCOC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)C(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
364,MRS 1845,O(C(=O)C=1[C@H](C(C(OC)=O)=C(N(CC#C)C=1C)C)c1cc([N+](=O)[O-])ccc1)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
365,Cilnidipine,O(C(=O)C=1[C@H](C(C(OC\C=C\c2ccccc2)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)CCOC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
366,Nifedipine,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1ccccc1[N+](=O)[O-])C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
367,Arecoline hydrobromide,O(C(=O)C=1CN(CCC=1)C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
368,Arecaidine propargyl ester hydrobromide,O(C(=O)C=1CN(CCC=1)C)CC#C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
369,Carbetapentane citrate,O(C(=O)C1(CCCC1)c1ccccc1)CCOCCN(CC)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
370,Dicyclomine hydrochloride,O(C(=O)C1(CCCCC1)C1CCCCC1)CCN(CC)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
371,FPL 64176,O(C(=O)c1c(C(=O)c2ccccc2Cc2ccccc2)c([nH]c1C)C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
372,3-Tropanylindole-3-carboxylate methiodide,O(C(=O)c1c2c([nH]c1)cccc2)C1C[C@@H]2[N+]([C@@H](C1)CC2)(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
373,3-Tropanyl-indole-3-carboxylate hydrochloride,O(C(=O)c1c2c([nH]c1)cccc2)C1C[C@@H]2N([C@@H](C1)CC2)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
374,SB 203186,O(C(=O)c1c2c([nH]c1)cccc2)CCN1CCCCC1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
375,Procaine hydrochloride,O(C(=O)c1ccc(N)cc1)CCN(CC)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
376,Tetracaine hydrochloride,O(C(=O)c1ccc(NCCCC)cc1)CCN(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
377,Etazolate hydrochloride,O(C(=O)c1cnc2n(ncc2c1NN=C(C)C)CC)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
378,Methyl beta-carboline-3-carboxylate,O(C(=O)c1ncc2[nH]c3c(c2c1)cccc3)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
379,Succinylcholine chloride,O(C(=O)CCC(OCC[N+](C)(C)C)=O)CC[N+](C)(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
380,TMPH hydrochloride,O(C(=O)CCCCCC)C1CC(NC(C1)(C)C)(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
381,Neostigmine bromide,O(C(=O)N(C)C)c1cc([N+](C)(C)C)ccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
382,(-)-Physostigmine,O(C(=O)NC)c1cc2c(N([C@H]3N(CCC23C)C)C)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
383,Doxylamine succinate,O(C(C)(c1ccccc1)c1ncccc1)CCN(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
384,U-101958 maleate,O(C(C)C)c1cccnc1N(C)C1CCN(CC1)Cc1ccccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
385,Benztropine mesylate,O(C(c1ccccc1)c1ccccc1)C1C[C@@H]2N([C@@H](C1)CC2)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
386,Diphenhydramine hydrochloride,O(C(c1ccccc1)c1ccccc1)CCN(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
387,GBR-12935 dihydrochloride,O(C(c1ccccc1)c1ccccc1)CCN1CCN(CC1)CCCc1ccccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
388,"2,3-Dimethoxy-1,4-naphthoquinone",O(C)C1=C(OC)C(=O)c2c(cccc2)C1=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
389,Foliosidine,O(C)C1=CC(=O)N(c2c1cccc2OC[C@H](O)C(O)(C)C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
390,Colchicine,O(C)C1=CC=C2c3c(cc(OC)c(OC)c3OC)CC[C@@H](NC(=O)C)C2=CC1=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
391,(±)-Methoxyverapamil hydrochloride,O(C)c1c(OC)cc(cc1OC)C(C(C)C)(CCCN(CCc1cc(OC)c(OC)cc1)C)C#N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
392,TMB-8 hydrochloride,O(C)c1c(OC)cc(cc1OC)C(OCCCCCCCCN(CC)CC)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
393,Dilazep hydrochloride,O(C)c1c(OC)cc(cc1OC)C(OCCCN1CCCN(CC1)CCCOC(=O)c1cc(OC)c(OC)c(OC)c1)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
394,T-0156,O(C)c1c(OC)cc(cc1OC)C=1c2c(C(=O)N(Cc3cc(ncc3)C)C=1C(OC)=O)c(OCc1ncccn1)ncc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
395,T-1032,O(C)c1c(OC)cc(cc1OC)C=1c2c(cc(OCc3ncccc3)cc2)C(=O)N(C=1C(OC)=O)c1ccc(N)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
396,Trimethoprim,O(C)c1c(OC)cc(cc1OC)Cc1cnc(nc1N)N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
397,AFMK,O(C)c1cc(C(=O)CCNC(=O)C)c(NC=O)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
398,Tyrphostin AG 34,O(C)c1cc(cc(O)c1O)C=C(C#N)C#N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
399,SNC80,O(C)c1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)CC=C)C)c1ccc(cc1)C(=O)N(CC)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
400,(±)-Vanillylmandelic acid,O(C)c1cc(ccc1O)[C@@H](O)C(O)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
401,(±)-Normetanephrine hydrochloride,O(C)c1cc(ccc1O)[C@@H](O)CN,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
402,MHPG piperazine,O(C)c1cc(ccc1O)[C@@H](O)CO,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
403,Vanillic acid diethylamide,O(C)c1cc(ccc1O)C(=O)N(CC)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
404,4-Hydroxy-3-methoxyphenylacetic acid,O(C)c1cc(ccc1O)CC(O)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
405,3-Methoxy-4-hydroxyphenethylamine hydrochloride,O(C)c1cc(ccc1O)CCN,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
406,Dihydrocapsaicin,O(C)c1cc(ccc1O)CNC(=O)CCCCCCC(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
407,N-Vanillylnonanamide,O(C)c1cc(ccc1O)CNC(=O)CCCCCCCC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
408,Tranilast,O(C)c1cc(ccc1OC)\C=C\C(=O)Nc1ccccc1C(O)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
409,(±)-Verapamil hydrochloride,O(C)c1cc(ccc1OC)C(C(C)C)(CCCN(CCc1cc(OC)c(OC)cc1)C)C#N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
410,Papaverine hydrochloride,O(C)c1cc(ccc1OC)Cc1nccc2c1cc(OC)c(OC)c2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
411,YS-035 hydrochloride,O(C)c1cc(ccc1OC)CCN(CCc1cc(OC)c(OC)cc1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
412,R(-)-Denopamine,O(C)c1cc(ccc1OC)CCNC[C@@H](O)c1ccc(O)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
413,IC 261,O(C)c1cc(OC)cc(OC)c1\C=C\1/c2c(NC/1=O)cccc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
414,SU 9516,O(C)c1cc\2c(NC(=O)/C/2=C\c2[nH]cnc2)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
415,2-methoxyestradiol,O(C)c1cc2[C@H]3[C@H]([C@@H]4CC[C@H](O)C4(CC3)C)CCc2cc1O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
416,"L-655,708",O(C)c1cc2c(-n3c([C@H]4N(CCC4)C2=O)c(nc3)C(OCC)=O)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
417,5-Methoxy DMT oxalate,O(C)c1cc2c([nH]cc2CCN(C)C)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
418,O-Methylserotonin hydrochloride,O(C)c1cc2c([nH]cc2CCN)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
419,Melatonin,O(C)c1cc2c([nH]cc2CCNC(=O)C)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
420,6-Hydroxymelatonin,O(C)c1cc2c([nH]cc2CCNC(=O)C)cc1O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
421,(-)-Naproxen sodium,O(C)c1cc2c(cc(cc2)[C@H](C(O)=O)C)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
422,R(-)-SCH-12679 maleate,O(C)c1cc2c(cc1OC)CCN(C[C@@H]2c1ccccc1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
423,Emetine dihydrochloride hydrate,O(C)c1cc2c(cc1OC)CCN[C@@H]2C[C@H]1C[C@@H]2N(C[C@H]1CC)CCc1cc(OC)c(OC)cc12,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
424,1-benzoyl-5-methoxy-2-methylindole-3-acetic acid,O(C)c1cc2c(n(C(=O)c3ccccc3)c(C)c2CC(O)=O)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
425,IIK7,O(C)c1cc2c(n3c(-c4c(C3)cccc4)c2CCNC(=O)CCC)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
426,K 185,O(C)c1cc2c(n3c(-c4c(CCC3)cccc4)c2CCNC(=O)CCC)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
427,"L-765,314",O(C)c1cc2c(nc(nc2N)N2C[C@H](N(CC2)C(OCc2ccccc2)=O)C(=O)NC(C)(C)C)cc1OC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
428,Quinine sulfate,O(C)c1cc2c(nccc2[C@@H](O)[C@H]2N3C[C@@H]([C@H](C2)CC3)C=C)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
429,Dextromethorphan hydrobromide monohydrate,O(C)c1cc2C34[C@@H]([C@@H](N(CC3)C)Cc2cc1)CCCC4,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
430,3-Methoxy-morphanin hydrochloride,O(C)c1cc2C34[C@@H]([C@H](NCC3)Cc2cc1)CCCC4,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
431,"Methyl 6,7-dimethoxy-4-ethyl-beta-carboline-3-carboxylate",O(C)c1cc2c3c([nH]c2cc1OC)cnc(C(OC)=O)c3CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
432,"6-Methoxy-1,2,3,4-tetrahydro-9H-pyrido[3,4b] indole",O(C)c1cc2c3CCNCc3[nH]c2cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
433,U-99194A maleate,O(C)c1cc2CC(N(CCC)CCC)Cc2cc1OC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
434,U-73122,O(C)c1cc2CC[C@H]3[C@@H]4CC[C@H](NCCCCCCN5C(=O)C=CC5=O)C4(CC[C@H]3c2cc1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
435,Vinblastine sulfate salt,O(C)c1cc2N([C@@H]3C4([C@@H]5N(CC4)CC=CC5(CC)[C@@H](OC(=O)C)C3(O)C(OC)=O)c2cc1C1(c2[nH]c3c(c2CCN2CC(O)(C[C@H](C1)C2)CC)cccc3)C(OC)=O)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
436,SR-95531,O(C)c1ccc(cc1)-c1n[n+](CCCC(=O)[O-])c(N)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
437,Aniracetam,O(C)c1ccc(cc1)C(=O)N1CCCC1=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
438,Formoterol,O(C)c1ccc(cc1)C[C@H](NC[C@@H](O)c1cc(NC=O)c(O)cc1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
439,Tyrphostin 1,O(C)c1ccc(cc1)C=C(C#N)C#N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
440,Pyrilamine maleate,O(C)c1ccc(cc1)CN(CCN(C)C)c1ncccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
441,GR 4661,O(C)c1ccc(cc1)CNC(=O)\C=C\c1cc2c([nH]cc2CCN(C)C)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
442,Picotamide,O(C)c1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
443,4-Methoxy-3-hydroxyphenethylamine hydrochloride,O(C)c1ccc(cc1O)CCN,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
444,Methoxamine hydrochloride,O(C)c1ccc(OC)cc1[C@H](O)[C@H](N)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
445,R(-)-Apocodeine hydrochloride,O(C)c1ccc2c(-c3c4[C@@H](N(CCc4ccc3)C)C2)c1O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
446,Methoctramine tetrahydrochloride,O(C)c1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
447,NAN-190 hydrobromide,O(C)c1ccccc1N1CCN(CC1)CCCCN1C(=O)c2c(cccc2)C1=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
448,BP 897,O(C)c1ccccc1N1CCN(CC1)CCCCNC(=O)c1cc2c(cc1)cccc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
449,Urapidil hydrochloride,O(C)c1ccccc1N1CCN(CC1)CCCNC=1N(C)C(=O)N(C)C(=O)C=1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
450,"Urapidil, 5-Methyl-",O(C)c1ccccc1N1CCN(CC1)CCCNC=1N(C)C(=O)N(C)C(=O)C=1C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
451,WAY-100635 maleate,O(C)c1ccccc1N1CCN(CC1)CCN(C(=O)C1CCCCC1)c1ncccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
452,BMY 7378 dihydrochloride,O(C)c1ccccc1N1CCN(CC1)CCN1C(=O)CC2(CC1=O)CCCC2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
453,1-(2-Methoxyphenyl)piperazine hydrochloride,O(C)c1ccccc1N1CCNCC1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
454,VUF 5574,O(C)c1ccccc1NC(=O)Nc1nc(nc2c1cccc2)-c1cccnc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
455,Nisoxetine hydrochloride,O(C)c1ccccc1O[C@H](CCNC)c1ccccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
456,R(-)-Me5,O(C[C@@H](N)C(C)C)c1c(cccc1C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
457,Mexiletene hydrochloride,O(C[C@@H](N)C)c1c(cccc1C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
458,"ICI 118,551 hydrochloride",O(C[C@@H](O)[C@@H](NC(C)C)C)c1c2c(CCC2)c(cc1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
459,SR 59230A oxalate,O(C[C@@H](O)CN[C@@H]1CCc2c(C1)cccc2)c1ccccc1CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
460,Ranolazine dihydrochloride,O(C[C@H](O)CN1CCN(CC1)CC(=O)Nc1c(cccc1C)C)c1ccccc1OC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
461,(±)-CGP-12177A hydrochloride,O(C[C@H](O)CNC(C)(C)C)c1c2NC(=O)Nc2ccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
462,Pindolol,O(C[C@H](O)CNC(C)C)c1c2c([nH]cc2)ccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
463,(±)-Propranolol hydrochloride,O(C[C@H](O)CNC(C)C)c1c2c(ccc1)cccc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
464,(±)-Atenolol,O(C[C@H](O)CNC(C)C)c1ccc(cc1)CC(=O)N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
